Campo1,Más comúnes,Id,Nombre,Abreviatura,Nombre en español,Especie,Género,Familia,Tamaño,Tipo de genoma,Grupo de Baltimore,Modo de transmisión,Enfermedades que puede provocar,manchas_marron,manchas_verde,manchas_amarillo,deformacion_hoja,clorosis,purpura_hoja,anillos_verde,anillos_amarillo,fruto_reducido,crecimiento,pardeamiento_fruto,enrollamiento,tallo_marron,menos_frutos,deformacion_fruto,necrosis,afidos,trips,nematodos,chicharrita,mosquitasb,propagacion,transmision,semillas,polen,abejorros,orosius,Infección por,Datos adicionales,Referencias
1,,9,Ageratum yellow vein virus,AYVV,Virus de la vena amarilla Ageratum,Ageratum yellow vein virus,Begomovirus,Geminiviridae,,sin segmentar,II,Vector,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2,1,11,Alfalfa mosaic virus,AMV,Virus del mosaico de la alfalfa,Alfalfa mosaic virus,Alfamovirus,Bromoviridae,18-58 nm,segmentado,IV,"Vector, Semilla, Polen",Necrosis,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Áfidos,La incidencia de la enfermedad es mayor entre más cerca estén los tomates de campos de alfalfa y disminuye gradualmente con el incremento en distancia de la fuente.,https://herbariofitopatologia.agro.uba.ar/?page_id=10094
3,,12,Alstroemeria necrotic streak virus,ANSV,Virus Alstromeria de la raya necrótica,Alstroemeria necrotic streak virus,Tospovirus,Tospoviridae,80-120 nm,,V,Vector,,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Trips,Presente en la región de Colombia. Descubierto en 2010.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2828552/
4,0,13,Arabis mosaic virus,ArMV,Virus del mosaico Arabis,Arabis Mosaic Virus,Nepovirus,Secoviridae,30 nm,segmentado,IV,Vector,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Nemátodos,Predominante en árboles frutales de carozo.,https://revistas.elpoli.edu.co/index.php/pol/article/view/131
5,0,14,Beet curly top virus,BCTV,Virus de la parte superior rizada de la remolacha,Beet curly top virus,Curtovirus,Germiniviridae,2.9–3.0 kb,sin segmentar,II,Vector,Muerte de la planta,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Chicharrita de la remolacha (BLH),Una planta de tomate puede comenzar a mostrar síntomas entre 7 y 14 días después de la infección.,"https://extension.usu.edu/pests/research/curly-top-virus-tomato#:~:text=Beet%20Curly%20Top%20Virus%20(BCTV,Utah%20and%20the%20western%20U.S."
6,0,15,Capsicum Chlorosis Virus,CaCV,Virus Capsicum clorosis,Capsicum Chlorosis Virus,Tospovirus,Bunyaviridae,80-120 nm,segmentado,"IV,V",Vector,,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Trips,"Es un virus económicamente importante que infecta vegetales como el tomate y el pimiento en Australia y Tailandia. Produce síntomas similares, aunque no idénticos, al Peanut bud necrosis virus.",https://apsjournals.apsnet.org/doi/epdf/10.1094/PHP-2007-1204-01-BR
7,0,16,Chili leaf curl virus,ChiLCV,Virus del enrollamiento de la hoja de chile,Chili leaf curl virus,Begomovirus,Germiniviridae,2.7 kb,sin segmentar,II,Vector,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mosquitas blancas,,https://link.springer.com/article/10.1007/s42161-018-0168-x
8,1,17,Chino del tomate virus,CdTV,Virus del Chino del Tomate,Chino del tomate virus,Begomovirus,Geminiviridae,2.5-3 kb,sin segmentar,II,Vector,Planta atigrada,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Mosquitas blancas, Chicharritas","Es uno de los grupos de fitopatógenos más importantes desde el punto de vista económico debido a su alta incidencia, distribución y severidad de síntomas.",https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014001001441
9,0,18,Citrus exocortis viroid,CEVd,Viroide de exocortis de cítricos,Citrus exocortis viroid,Pospiviroid,Pospiviroidae,40 nm,sin segmentar,"IV, V","Propagación vegetativa, Contaminación cruzada",Desprendimiento y agrietamiento de la corteza,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"Propagación vegetativa, Transmisión mecánica",El control químico para el combate de la enfermedad no existe y el único medio de control es la prevención.,https://herbariofitopatologia.agro.uba.ar/?page_id=7179
10,0,19,Columnea latent viroid,CLVd,Viroide Columnea latent,Columnea latent viroid,Pospiviroid,Pospiviroidae,370 bp,sin segmentar,"IV, V","Semillas, Contaminación cruzada",,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,"Semillas, Polen, Transmisión mecánica",Hay al menos 3 linajes principales de este viroide.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224301/
